r_L,r_R,width,max_rmse_over_A,max_mean_abs_g1,max_dphi_vs_ref_rad,pass_all,skip
15.0,28.0,13.0,0.09298852964642354,0.0761154761370358,0.1426711713438027,True,False
15.0,29.5,14.5,0.1069482114573053,0.07226855168916534,0.11210200951763438,False,False
15.0,31.0,16.0,0.10681839114446198,0.07118183312199174,0.09805048719257048,False,False
15.0,32.5,17.5,0.10897480911583567,0.06845125928896999,0.08338964985573094,False,False
15.0,34.0,19.0,0.10849955757775871,0.06722840738400529,0.0695005437241325,False,False
15.0,35.0,20.0,0.10965657482517188,0.06656537902564079,0.0637122339013172,False,False
15.0,35.5,20.5,0.11447299938009958,0.06520048454911487,0.05308767696446015,False,False
15.0,37.0,22.0,0.11630558682947768,0.06376382375349841,0.0372354543084068,False,False
15.0,38.5,23.5,0.11733336882238442,0.062310258372836325,0.02839613869184454,False,False
16.5,28.0,11.5,0.0832933967554213,0.06796875710058163,0.12455485218581286,True,False
16.5,29.5,13.0,0.09740826968478844,0.06461796279754771,0.09389050617574668,True,False
16.5,31.0,14.5,0.09786276816044179,0.06421026529842006,0.07952334680730333,True,False
16.5,32.5,16.0,0.09879537221969806,0.06187728465201237,0.06577314863993111,True,False
16.5,34.0,17.5,0.09934550153280051,0.06111310040978992,0.052256777724648984,True,False
16.5,35.0,18.5,0.10006686912606412,0.0607268701290832,0.04665512163766028,False,False
16.5,35.5,19.0,0.10494140650788739,0.05940786579642515,0.036068190145824186,False,False
16.5,37.0,20.5,0.10735692638596063,0.05828993363181405,0.020286580141387844,False,False
16.5,38.5,22.0,0.10764504671788187,0.05711048130167622,0.011815811280102118,False,False
18.0,28.0,10.0,0.08202249770429612,0.06996513196839027,0.10488490907516601,True,False
18.0,29.5,11.5,0.0946649187646159,0.0659168808169856,0.07172089114541835,True,False
18.0,31.0,13.0,0.09363761992207406,0.06531226614263884,0.05788674892942414,True,False
18.0,32.5,14.5,0.09378428576917296,0.06262394258340771,0.04439393738025643,True,False
18.0,34.0,16.0,0.09293410569836842,0.0617181168874086,0.03155050644736468,True,False
18.0,35.0,17.0,0.09364524646509345,0.06126221825972076,0.025705501074373416,True,False
18.0,35.5,17.5,0.09820456501464986,0.059814860751959534,0.01495283449212037,True,False
18.0,37.0,19.0,0.09963590806410273,0.05857653960417905,0.009709471690883209,True,False
18.0,38.5,20.5,0.09987287307786545,0.057289814715321505,0.008348105470517453,True,False
19.5,28.0,8.5,0.08296074692898787,0.06338139402981076,0.09781933755441141,True,False
19.5,29.5,10.0,0.09600282087594118,0.059713465896482305,0.06211740957720924,True,False
19.5,31.0,11.5,0.09407944790830977,0.059839129515112485,0.04887814006228197,True,False
19.5,32.5,13.0,0.09357763413600277,0.05747213054068466,0.0349254178178815,True,False
19.5,34.0,14.5,0.09213939453140046,0.05700554481158802,0.023018875382804893,True,False
19.5,35.0,15.5,0.09268478833072458,0.05680956386998334,0.01678021770940319,True,False
19.5,35.5,16.0,0.09724384153311473,0.05536566204554878,0.005760218777412618,True,False
19.5,37.0,17.5,0.09835910296451689,0.054402558974222325,0.008859909620063888,True,False
19.5,38.5,19.0,0.09823630709142153,0.05334377532808313,0.01743000177299381,True,False
20.0,28.0,8.0,0.0745120285831632,0.06463679314987704,0.07693184802229691,True,False
20.0,29.5,9.5,0.08603765205417459,0.06057759525373135,0.041564474461806444,True,False
20.0,31.0,11.0,0.08411557501716824,0.060591135033583494,0.029204511465424243,True,False
20.0,32.5,12.5,0.08280071113851212,0.05803921543796204,0.01677672303307709,True,False
20.0,34.0,14.0,0.08174344754798155,0.05749520683668938,0.006011900340658016,True,False
20.0,35.0,15.0,0.08221386918823377,0.05726004906202443,0.0,True,False
20.0,35.5,15.5,0.08665385217424855,0.055755037978993886,0.010807188122562206,True,False
20.0,37.0,17.0,0.08790901948667816,0.054729251646736206,0.024661435049496028,True,False
20.0,38.5,18.5,0.08758971491328872,0.05361536363130835,0.03271212268027002,True,False
21.0,29.5,8.5,0.05837580844166697,0.06237195956489835,0.0065914773152773165,True,False
21.0,31.0,10.0,0.057756664521714074,0.06211769867606066,0.005871341729204005,True,False
21.0,32.5,11.5,0.057613768155328565,0.05914475603180118,0.011967984919008856,True,False
21.0,34.0,13.0,0.05667819137442644,0.0584313382388338,0.019578371899597435,True,False
21.0,35.0,14.0,0.0585007229244,0.058112516951539614,0.02556929472031566,True,False
21.0,35.5,14.5,0.06376077077072456,0.05647431655624783,0.03571218791650832,True,False
21.0,37.0,16.0,0.0654892646372442,0.05531698621160649,0.047024935624084385,True,False
21.0,38.5,17.5,0.06636828294658723,0.05408907020402243,0.05446381212965301,True,False
22.5,31.0,8.5,0.05427438570182015,0.055090928213686545,0.011989492056433182,True,False
22.5,32.5,10.0,0.05240638610005592,0.05272605974214426,0.019915999917725635,True,False
22.5,34.0,11.5,0.053166109098370204,0.05275680870961464,0.027879451611283024,True,False
22.5,35.0,12.5,0.05455359445493975,0.0528536912301827,0.03334594819376857,True,False
22.5,35.5,13.0,0.060094182811626796,0.05122873024010173,0.04353382847624321,True,False
22.5,37.0,14.5,0.062351000098171724,0.050494322926995364,0.0554295784077814,True,False
22.5,38.5,16.0,0.0623071054217512,0.04960341447663259,0.06228041586663435,True,False
24.0,32.5,8.5,0.05513283574812045,0.05517280360011959,0.028042410740132695,True,False
24.0,34.0,10.0,0.054537495817300864,0.05484115333401424,0.03707975189302726,True,False
24.0,35.0,11.0,0.05552770117449697,0.05476176123244161,0.043282286676251225,True,False
24.0,35.5,11.5,0.0606459055360115,0.05284188924355621,0.05474950939891965,True,False
24.0,37.0,13.0,0.06181196098389354,0.0518366088939236,0.06721812430494456,True,False
24.0,38.5,14.5,0.06131011240076124,0.05071468033142727,0.0741093721886883,True,False
25.5,34.0,8.5,0.054680342186427026,0.049836335036021084,0.039683871692292705,True,False
25.5,35.0,9.5,0.05603836674264596,0.050271230318199425,0.047008739975536784,True,False
25.5,35.5,10.0,0.06154265683241369,0.04828790407669334,0.058978024945868235,True,False
25.5,37.0,11.5,0.06215865774726383,0.04774549826843857,0.07079106836913684,True,False
25.5,38.5,13.0,0.0616923940920268,0.0469661676362871,0.07831196931462081,True,False
